transcripts,score
"When delivering um, difficult messages to people and giving them feedback, I think one of the first things that should happen is talking about the expectations of the situation. So I would start with um, discussing what I thought, which should happen in terms of deliverables on time effective work in communication, and then going into what actually happened. So late deliverables, ineffective communication, and then going into the impact of that. So talking about how when we're late on deliverables, it causes the entire workstream to be held up roads, trust with clients that we would be able to deliver effectively. If it's for communication leading to swirl or confusion. And then, um, second, you know, most important would be developing an action plan based off. So after kind of talking about expectations would actually happen, and then the impact of that going into how are we going to plan for this not to happen? This, I think, is you know, moment to have a more human conversation with people and relate to them talking about what's getting in their way. What can? How can I or the agency or the team set them up on what barriers can we remove and then? Developing a plan to make sure that this action is corrected.",3.0
"OK, so we only have a few minutes to complete 100 piece puzzle. It can seem overwhelming to do that in such a short amount of time, but I think the best way for us to get this done is to break it into a few smaller tasks and each work as a team for the larger goal. So we have a polar bear. A tiger. I say some of us take the white pieces, the white furry pieces and start trying to organize that based. Off of building together the polar Bear tigers, I think they have stripes, so let's start also separating um stripes from the white pieces to start trying to create the tiger. We also know that puzzles have, you know, the middle pieces, and then they also have the, um, the edges, and so from there. Once we have the polar bear and the tiger pieces separated, let's start working on that. But also I think you know we're a team. Let's have fun doing this together because if. We don't win. It's alright. At least we had some fun in the process and learn how to build a puzzle in just a few minutes.",1.0
"My plan for my team, my ultimate goal for Creative Services is to help the team grow and what that means is several different things that could mean growing our team in the skill set that we provide. Growing our team in size and the clients that we work on growing in the engagement across the agency and growing in. You know the way that our reputation has can be. Affective in the agency. That could also mean having team members move off of our team and when they have expanded their skill set to a certain degree, have an interest in leaving the team. That means that we would be able to continue to have better context throughout the agency, and then that would lead to more growth. Ultimately, the goal for Creative Services is for it to be a. Valuable piece of mail INR and something that can contribute a lot of good talent and effective work and capability across the agency. And I would love to be a part of helping expand that. Reputation and continue to grow our team through the um INR.",4.0
"My management philosophy is that I want to empower my team members to ask smart questions to get the answers that they need to get the results that they need to do their job properly. Um, I want to set high standards for the team and then give them the tools that they need to meet those standards. I need to understand that that looks a little bit different for everybody, so that's another part of just giving people if they need different sets of of tools or different ways to work than understanding that that can look a little bit different for every person on the team, but empower them to ask more questions and. Find their best way to get to their best results.",5.0
"The role of creative services at the UM INR, I think is to be a stellar creative team that offers support to client alignments in a cost effective way and what that can look like is finding the right talent to fulfill a specific project need or roll at any given time. Because we are a shared service it. Is incumbent upon us to have people who can kind of parachute in help out on something and then leave with having finished the work delivered great results and been useful and effective for the teams, and I think that that is really what creative services is at. The um, INR to do and what we should be best at.",
"So Adam, my boss, his role in the company is to provide support to his team, our team making sure that their workload is not too light or too heavy and also to make sure that our team is performing how it should in the agency, meaning that our workload is heavy enough for us to continue to be cost effective and making sure that we are getting the right kinds of projects, working with the talent teams to make sure we were recruiting the right kinds of people. And, um, continuing to give everyone on our team just the support that they need to grow in their roles and to continue to be effective creative people on every team they work on.",
"So wanted to chat with you. Um, we have noticed over the past several months that your work has not seemed up to your normal level. Your attitude has been a little bit different. Um, it's, it's affecting the way that you're interacting with the team. The way that your work is coming across, um, would love to know if there's something going on behind the scenes that you would like to discuss or any. Any problems that you've been running into at work that have been affecting your performance. Um? But this this is something that we're not used to with you and with just would love to understand what's been happening. I don't necessarily know what else to say without getting some kind of a response. Um, but I'd love to hear more about what. What I could provide to someone who is in this situation? If there's anything that you need to discuss.",1.0
"OK team, we are going to win this puzzle competition and here's how we're going to do it. I want one of you to start looking for edge pieces. Other one I want you to start looking for tiger pieces and the third I want you to start looking for Polaroid pieces. We are going to separate into different groups and then we're going to start working together to figure out which way which pieces need to go where. If we need to. Work together and mix and match our piles. But first we're going to separate. Then we're going to come together and divide and conquer. Sound good? Break.",6.0
"My plan for my team has suddenly been uprooted and I'm going to have to come up with a new plan 'cause I went from having a four person team to where there will now be a two person team. So a lot of stuff is going to change over the next six months and I've got to come up with a brand new plan. So a lot of it's going to be figuring out what what we can do is a smaller team and then to what we can't do anymore. So and not having as much support so I don't. I went to where I'm going to have to come up with a brand new plan because on Friday everything changed for me so. Um? That's kind of where my plans are right now is that I don't have a plan and any plans that I had before or I'm going to have to review and then restructure everything again because going from having multiple people to deal with everything going on too. Now restructuring things where I have one person on both both of the projects I'm on and figuring out what they can do. This is not where I expected to be here right now, and it's definitely not where there I was. Expecting to be when coming into this so. That's so my plans are totally up in the air now and I'm going to have to review everything that's kind of where I'm at.",2.0
"My management philosophy is to always be honest to the people that are working for me with no. Did the information I have with once I know it and tried to make sure that I'm always encouraging them to learn more and and to understand that mistakes do happen and that they need to learn from them, but not penalize people for mistakes is right away. So hopefully the I can always be honest to them and give them the information they need to be able to do their jobs correctly.",3.0
"So the role of my team since we've been reduced down to only having a couple people this change from working on brand new features to entirely on being support code for the and make sure that the application stays up and running and has no issues and that when the few developers we have remaining will be able to work on what they are doing and there are these automated systems. Will continue to deploy and continue to work as needed with the limited resources we have now window longer going to be able to function then to add in new features or and add a new applications. It'll be an entirely focused on just supporting and keeping everything running as is. As with no changes in less we we absolutely have to. This is to make sure that we can keep everything up and running and that there will be. Eh, no potential issues. That is down the road. Hopefully at some point we will be able to staff back up to where we can actually base, add new features and then continue to increase the the what are their applications are able to do.",
"My boss's role is to manage the the pod leads. Its along with making sure that we have the work they're coming in from different clients is also working on finding new business. Is that that we had that have out there along with making sure that we've got everyone unbillable um. A lot of that does come down with that he's making sure that they're showing up correctly in raft, whereas they were making their populations are making sure that they actually people are doing the work and we've got to work for them to work on. Um? Um, I don't know beyond. Beyond that, uh, he is also trying to help make sure that the Republicans are good managers and we're able to help our teams and what is needed.",
"Over the past couple months. We've noticed that the performance has went down. Um, there's a lot of or on the project. There's a lot of due dates that that you're missing and we're having to figure out how to. Manage around those we need to figure out what is causing in the delays and how do we address them and make them better. Err is. Even your attitude towards getting the work done and nonchalant and not really eh focused on getting the work done and helping the rest of the team name and and meeting our goals. We need to really look into what we can do to improve those. Those in meeting those deadlines. Is there any issues that we can help with or that we can address us? Or are we giving it? Is our deadlines and unachievable, if the ER unachievable we need to understand what is going to be a point that we can actually achieve. If we can't continue down this path in the setting deadlines and then never making any of those deadlines and always going beyond, so we need really understand what is going wrong here and see if there is anything that we can do to improve this and make it better for everyone.",3.0
"Our IT team we can do this. We need to make sure we have know what our strategy is and we may need to make sure that that each person knows their role in that strategy so we can focus on getting all the edge pieces somebody to sort out all the edge pieces we can get somebody that sorts out all the cases related to the panda or the polar bear will get somebody else to focus on getting all the pieces related to the tiger and make sure that if you have got a piece that fits for. Your other teammate pass it off to them. Make sure that we're focused on that, and that we know though, our role. We know which pieces were looking for err, and any helping give to the other teammates. That is exactly what we need to do, but we need to understand what our strategy is to get this completed and we need to understand each of our roles in this.",4.0
"Hi, my name is Hannah Jarvis. I am an associate director in the content practice within the engagement department and I manage for individuals that I don't actually work with on their client team so I don't have a lot of control in terms of what work they're delegated or, um, even the course of their career. I think that it VML INR it's allot determined by. What your goals are, what is possible within client demands and how many people you have on your side of the court. So that's really my goal as a manager is to be the biggest cheerleader sister and mentor towards the people. The four women that I had that I manage and what I say what I mean by sister is that I am here to listen. I'm a safe space and I'm your biggest ally. Um within VM L Y&R as an associate director as a manager at that level, I don't have a ton of control in towards getting, uh, getting your promotion getting you a raise, but it is my goal to be the person to communicate your strengths to can make sure that you're continually checking in on what your personal goals are, what your career troubles, difficulties, strength skills, new developments. Checking in on all of those things, and. Sharing that upwards, I always want to be sure that I'm working through and troubleshooting problems with my direct reports, even though I'm not on the project. I can help find methods of intervention to work through whatever it is that's causing difficulties. I do all of these things because I do think that we work in a world we live in a world where we do need continual raises. We do need continual acknowledgement of our successes and that is my job to be that person that raises your your flag.",5.0
"My management philosophy comes from, uh, a bit of a more personal space. I am one of five children on the middle child child of five, and I have always thought of myself as a. Sister um, because I because I am a sister to so many other people. So that's really the role that I like to play and that I feel is most helpful with the people that I manage is to be a sister or whatever I can to help them in whatever state of their career they're in. So what that means in the work world is that I'm a safe space. I'm going to I. I will listen without judgment and I will try to help find a solution. I will give. Tough love when necessary Tord to helping solve a problem, and I will be your best friend in the workspace and in your career. So sistering is my management philosophy.",4.0
"I have the pleasure of managing for amazing women. Um, I have Alma who is a senior content strategist. She's currently working on Butterball um Pfizer X Tandi and YMCA. I get emails almost every week about how amazing Alma is literal quotes. She's an Angel. She saved this project. You're so lucky to have her. Then I have Sonia who is a content strategist who will be. We are going to move her into a content management. Roll 'cause. That's really where she thrives. She's done great in content strategy, but we've been working towards shifting her career into more content management currently on T-Mobile, but it looks like we'll be moving into her into WBA, which is a great opportunity. We have Karina who's an awesome content administrator. She actually just got a raise because of her efforts on the city of Hope Project and doing amazing work on Colgate. And then we have Hannah who is our content strategy intern on United Rentals. She's awesome.",
"Hey there, I just wanted to take some time to check in and see how you're doing. Um, I've gotten some feedback and I kind of just wanted to share that with you, um, about your performance on your project over the past few months, so I just wanted to start that I've heard you delivered an amazing project and that your teammates really enjoyed working with you. You have a really unique perspective. And that you are. You're always present when you're on the call is your present and engaged. Weight has been reported is that there's been some performance issues, um, and without going into too many details, it's been communicated to me that there have been some late deliverables, um. Sometimes the attitude comes off as negative, whether that's intentional or you know or otherwise it's been communicated to me that there's a bit of a. Of a cloudiness and it is impacting the team's goals for this quarter. So I wanted to check in to see is there. Are you aware of these things with the late deliverables? Is there anything that we can do to help address the timeliness? Um, is it a matter of having too much on your plate? Is there something going on elsewhere that's impacting your ability to focus on the work? So I really just want to focus on what's going on and how we can course correct, because as I said, you're an amazing and contributor. I have always enjoyed working with you. And I want to see where we can improve together and what I can do to help you meet those benchmarks.",4.0
"My manager's name is Mary Kate Burns. She is based in the New York office, so we've actually never met in person 'cause she was hired over the course of the pandemic. Um, she is a director of engagement with within the content practice of our department. Um, and she's really great at. Giving good advice, troubleshooting problems and really being, uh, a siege with in my career and the projects that I managed as well as the people that I manage, she helps work through all of these. Um, the difficulties and just like the admin of being manager, she's really great at active listening so I can tell that she's fully attentive and fully paying attention. When I talked to her, which is every week we have our one on ones. Um, she's also very skilled individual contributor, even though I haven't worked with her, I've seen her work, and she's stellar.",
"Alright everyone, we are going to win this because we are smart, intelligent and organized people. So how we're going to do this? Karina and Sonja. You guys focus on white pieces. Karina you look for edges Sonya, you look for everything else Hannah and Alma. You work on Orange Hannah. You're gonna look for edges and corner pieces. Alma, you sort everything else. We are going to do this once we have all of the edges sorted. The inside people are going to begin mapping out. Facial features eyes nose tales background images. This is how we're going to win the other against the other teams because we are independent, organized and fierce women that are going to put this puzzle together well. Completely and with smiles on their faces. Go team.",8.0
"So, uh, my plan for the team group of editors with fault at VML, INR? Um, they they need to always progress become better editors. I want them to live in the programs that we use to edit videos. I don't need them being, um, experts of of excel or or teams, or any of the, um, productivity applications. They need to be experts in video editing software and and everything. That goes with that. And to do that, I plan to, um, identify onnable's for each of these editors to which they can. That helped the other parts of our team, whether it be for. Say uh, identifying sound effects and, uh, process there or how we organize our files on our server. Or, um, just keeping up to date with the software that we're using. Those kinds of things. The idea of being that they are able to help each other. Uh, by individually identifying skill sets that are their strengths and and educating the rest of the team on what they're they're good at and what they're doing. That being said, there are. Those are all things that I feel like I've spearheaded an, and now in the position to delegate to the rest of the team. So my plan is to take those things that I have been doing and not been doing well enough as I'm not able to focus on each of these tasks and um, find team members that that can do that while guiding them and being. Available as a resource to them as needed. Um, for them to become experts in each individual area that they are focusing on. And on top of that, finding. Finding ways to coach and mentor and just in general guide the team in the skill sets that are the editor skill set um. And with that being said, hopefully in just a few months will be in a great spot. Everybody will kind of be be showing good level of growth and competency in all the areas of our editorial practice.",1.0
"Sorry is a management philosophy. I'm relatively new to all this, so I haven't really been able to establish a philosophy. Um, the one thing that I think is is guided me to where I am currently is that I'm I focus on support of the team. Um, it was. It was mentioned by my boss, Scott Stone, that when when you become in a leadership role management role that you're not. Your team does not service you. You are you are there to service your team and be there to to assist them. It's almost a reverse philosophy on supporting the team. You push them up as opposed to bring them up to you. They don't come to you, you come to them. And help them through their work. So short answer is, um, I'm in service to my team members.",1.0
"So the vault editorial team is built of really strong roster of editors we've got. People from New York, Miami, Chicago, Seattle, really across the network. Uh, female INR and and we. Service department with with just about every need for video work. Whether that is, you know, internal videos, meeting videos, case studies and beyond to all the way to broadcast. As you know, but the the group that we have is is diverse they've got. Each unique talents, but together we put together a very good team of editors that will cover just about any edit we need. Matthias is very strong, very thorough out of Miami, Um became known to the to the higher up creatives over the case city season for for just how good he was. Bray is great with hype videos and sound effects and. 8 and Morgan coupled strong female editors that really do um ocean. Well, Blair comedy. She's great with that. A couple more junior editors that started um Caleb and Gabriella both strong in their own respect but. They helped round out the team with their their junior skill sets to assist as needed. So really, really strong group of editors. And, uh, across across the country.",
"Uh, I would. I would say I'm lucky enough to have three. Strong managers that I consider my boss. I'll start close to me. Casey steel. He heads up the post production team. He's great with process. That's that's something that's key to me and and I I'm learning a lot from him on on process, uh, when it comes to post production. Steve Stone above him. He is. He's he's great leader. He is always on top of it. He's just a great personality. He's somebody that people respect and admire. And um. And philosophically, I strive to be more like him and then Scott Stone, who heads up the department. Um, just incredibly talented in the programs we use and and without. But he is always pushing to grow our department to be bigger and better, and that's inspiring as well.",
"If if I see that any of the editors on my team are underperforming, not. Living up to or not not fulfilling the expectations that I have for them. Um, definitely just sit them down. Almost make sure mentally they're OK if there's anything happening that that's. Not necessarily in my business, but personal life issues that could be affecting their work life, and they're output at work. First and foremost, always want to make sure I've got a strong team mentally, then from there explain kind of what I've I've seen. As far as what was lacking was missing, and, um. Uh, you know, go go through through the expectations that I have and why those are not being met from there, um. Assuming that. There's nothing. Um? That needs to be addressed as far as their their, their personal personal life or anything like that that's affecting their work would go through and discuss. Involving myself in in in their day, UM communications and and what their output is and setting up. Uh, you know, uh, a goal to see, see improvements. He see better work over the next month or so would probably be my my approach to, um. Having having an editor not not. Succeeding as much as I think they could at that time.",1.0
"If I was in a competition with three other. Three other people to complete a puzzle. I would I would start by identifying who can find the edge and corner pieces. Then from there probably who can find and match colors. Say it's polar. Bear in a tiger I believe was was the two animals I would give one person the task of finding the puzzle pieces for the polar bear. One for the puzzle pieces of the tiger. From there myself. For the third or the other remaining team member would be in charge of starting to piece. These puzzles together once all the pieces are identified, then everybody jumps in to collaborate on completing the puzzle with the pieces that they have gathered for themselves and then from there we win.",1.0
"So health and Wellness is really the building block of our society and as a result it's really what people are talking about online. But the reality is the industry is very far behind the rest of the world, especially when it comes to trying to talk to consumers. And the reality is that. There's a reason for this, which is that the guidance is VAD maddeningly vague. There we are still working off of draft social media guidance from 2014 that has not been finalized and has not been updated, so it makes total sense that our clients are nervous about taking leaps of faith into the space. But this is where consumers are, and we're going to need to be there. So the goal for the connection social health team is to really help be that bridge providing the link to the 21st century to social health and making sure that we are going to be providing the expertise in the category for how social works, how we can support all of our clients. And really help them understand the value of being on social, how it works and really educating them on what is even possible and continually pushing them to get there. The thought process is that we're really when you think about us. Think about us as. Partners in crime with the planning teams so that in the same way that you do have an art director and a brand planner, art director and a copywriter, you would have a brand planner and a connection strategist.",5.0
"My management philosophy is really about allowing people to. Learn and grow in the ways that makes the most sense for them. I don't have a ton of. Specifics in terms of. This is how things have to be done. This is the way things work, but I'd like to give guidance in terms of this is what's worked for me. This is how are a couple options of how you can achieve this and I really want people to go and try and come back to me and then we can react in terms of what it looks like, where it should be I. Tend to. Perform best when people come to me with their questions versus sitting in silence. Because how am I going to know that you have a problem if you don't come to me with it?",5.0
"Finding people who are. Excited and willing and happy to work in social. And health is really eh. Challenge sometimes because. It is a. Different experience from a lot of different. Groups in the building. Health is more regulated than even the most regulated industries that you can even consider more than government. More than finance and at the same time, it's really important that we understand who we're talking to because it's a very very personal category. So my team are all folks who are both very excited about the future and what's going on in the latest and greatest. Steps of social media and being just as engaged with the. Latest consumer trends. The latest news as. Anybody who's working in a category, UM, but at the same time they also need to be willing to constantly have eh or able to have a positive attitude when they're being told no, and they're being told, uh? We can't do that over and over and over again, and at the same time they are helping to educate on the why. It's so important and how we can add value. So it's a really. When you find these people there really unicorns in the industry because they're doing something that very few people are either willing or capable of doing so having them. Be there really adds value to everyone's teams.",
"My boss is role is really to help fill in the gaps of building this practice in the New York office. The. Despite having been a merged company for almost four years now, the there's still a lot of disconnect between the legacy VM legacy INR and my boss spends a lot of his time, and honestly I'm going to be spending a lot of my time helping to establish collaboration between all of the teams, demonstrate the value of. Having our team involved and fighting to get. Our roles scoped and. Budgeted and valued",
