transcripts,score
"Imagine. You would be back to school. Yes, really, back to school. This means you have walking, you're starting your day at 8:00 o'clock. And then you are moving through all the different lessons you have in German, English, mathematics, physics, chemistry. A lot of things, and the work that the school day is long so it takes hours and hours with some breaks in between and what school kids are doing. What are these cool kids are doing? What are the first three things you remembering that please type it in the chat? What are the three first things? Not more than three words. Please type in chat. OK, I see you have different things like learning by rude. Yeah, that's right. So this is a major problem of the school system nowadays and then the old times. And you do not know why you do it. Yeah, right? That's also correct. You have written it right, correct down and a lot of other things. So there's a relationship issues sometimes with the teacher and the school kits. But let us only focusing on the two points we had here, so the learning by root. And. Do not know why you learn something, so that's a really big issue and we need really to change that. The people the young kids should know while they learn it. So what is the relationship to the future for their future jobs? And this is really, really important to understand that. And also the learning by roots is not the best way, so therefore I want that you think about that how you can change that and make your kids a clear point why they do it and why, how they can change it so that they better prepared for the future their own future and they can shape their future. Thanks a lot.",7.0
"Visits to the 50 most important newspapers, so websites on the world. So how long do you think it takes so we know? So it's five for 12 before 12. Yeah, five before 12. That means we have 5 minutes to achieve something to change the world. So how long people are staying on such newspaper? Websites, so it's half of the time we have time to change the world to rescue the world before the catastrophe there. Clearly climate change or other things. But people are staying only two and a half minutes, so half of the five minutes at this newspapers and reading it on the top 50 websites for newspapers. So that's really clear message, not the top 100. We only talking about the top 50 and they using only two and a half minutes on that page.",6.0
"What I learned is about me that to be static and monotone Asli is not the best way to explain or to present something to the audience, so it was really not using my body, my body language, my hands, the guestures to explain something. So this has massively changed and also using the tone lean in lean out. Be whispering or be really loud. That's something which helps me to improve myself and to present the idea is better than her. Would do before, so sorry for that last thing. Thanks a lot.",9.0
"Hello everybody is my great honor to be here to deliver this presentation to you. Um today my topic is about how we can manage our business from our organization during this vocal. And as you know, our business is facing great challenges internally and externally from internal site. Our company or group is facing the reorganization and externally we are meeting more and more demanding customers and. Stronger competition among the local competitors, So what should we do under this situation? How can we improve our business continuously and ensure the profitable growth? Hi everyone cheese. OK, I see a lot of ah, I see I see no one. Actually I feel have been lonely. OK, there you go, sorry alright thank you. You knew? Uh, thank you for putting on your campaign. Thank you. Alright, how did that go, everyone?",2.0
"Hi today I'm going to teach you how to be a qualified commercial project manager in Siemens Energy. As I am a certified CPM short for commercial project manager and I think the most important thing is about your mindset. Um, how to control a project from a financial and commercial perspective and the talking about the mindset. The first is that we must have the commitment to deliver what we promised. To our customers. In our sales contracts. And then we may come to the skills, the skill perspective. It's about your your solid commercial and financial and accounting knowledge. Manage the financial risks as well as the UM, accounting. The correctness and accuracy of the account.",2.0
"Hi, my name is John Tan. My major is biomedical engineering. However, however, after my graduation I have another engineer, um instead. I've been working in the commercial and financial jobs family for years. Currently I'm employed in Siemens Energy China. Here, um in the commercial field and I have a team of seven colleagues. And my daily responsibility is to drive and support our business from a financial and perspective and accounting perspective. For example, to initiate and optimize some internal processes and make sure our business can have continuous, profitable growth. Thank you.",2.0
"1.5 If I tell you this number, what Can you imagine? 1.5 years. A baby started to walk. 1.5 years a seed started to growth and after 1.5 years Siemens Energy is running. As a newly established company. We all know that Simmons energy was newly carved out and established since last May and till now is almost 1.5 years. Past and we've signed a lot of contracts with our customers, sold a lot of products and we've made incredible improvement or growth in all the entry and the revenue recognition.",2.0
"They, um, are the one thing going well at my company is about the stability of the employees. Most of our employees, um, at least from my team, are around 10 eight to 10 years. Working experience here, and um. Another thing to improve is the speed of decision-making. We need to simplify our internal processes.",1.0
"Hey, you know what? I just came back from my vacation from the Uber Watertown um? As a price you have to go and take the vacation there and it's it has a beautiful view and seeing and just the same as the southeast city. And you can hardly see those views in the inland city like Beijing here, but you can just drive 2 hours there and you can enjoy all the beautiful view and especially you can take your kids there. The children love their, they can take a boat on the water and look at the Great Wall from far away, especially during night time. It's really wonderful.",1.0
"Hello, I'm Frank Frank who I was working in General Motors for 11 years. And I was a. Engineered before. And right now I transferred to the market Research Group, which is super exciting because we get new. The market trend and we also kind of like being the information source for the big planning group, which means that you know our company in the next five years or the product going to be suitable for the market and also in terms of the trend of the market. We have to know in the next five years what's the best vehicles going to share to the customer what a customer be like. And also we also build some kind of the model to simulate situations. For example based on different kinds of scenarios like the economy grows and the population going edged. And also it's changed. In HM, it actually impact people's purchase behaviors, like in UM five years ago or 10 years ago, people started by first vehicle. They will buy a car and right now some of the channel customer may think that you know. Like SUV's, they like big size of it, so um, people are changing so it's our job to understand what a customer want and also in you can know that right now the industry is kind of like changing from combustion engine into electrical vehicles. So there are a lot of things we can do to in terms of the market research.",2.0
"Recently I found out very interesting way to cook a cake. No steak, sorry steak. Um, you know, normally um, if you want to cook cake or fire fire steak, which means that you're going to put. Refrigerator defrost, allies it and put the fire with a high temperature, but you know there is a new device called warm temperature cookies, which means you can push the steak. Into the temperature around 56 degrees and it continues to cook for like um 2 hours and when you take it out it's almost half cooked. It's so soft and then you take out the steak and poaching. Stir fry pan and with high temperature grease on it and then you find out it's so tasty and you cut it. You'll find out so soft.",4.0
"And I'm Frank, who? And I'm Jim General Motors market research analyst, so most part of my work is trying to understand the market trend to understand China customers in terms of my parents. I was working in the engineering industry for like 20 years so I know each part of the vehicle. Being customer need and actually engineer part says gap in between. Sometimes we try if we build something custom, don't want we are losing money like we waste a lot of materials and the designer customer cannot be fulfilled. But and also. So for me it's very important right now to bring out the voice of customer and send the information to the product in department so they can build. Vehicles. Which the market will be adapt and we will make a lot of money out of it.",1.0
"I'm going to talk about my favorite numbers. If you, um, need. If you can't come with me too, or fruit or the supermarket. And even notice as a traditional Chinese, we try to avoid full which mode, which means kind like death. It's a simple nations as the deaths in China, so. And normally, if you know if big fruit like the watermelon survey by one. If big apples, I will buy two different likes. Much smaller ones. I wouldn't buy three. I wouldn't buy four. I would rather buy five or six.",3.0
"Since the things I think my company could very well is that we have the vision vision to be 0, crash, 0 emission and zero congestion, is which if you tried vehicle every day you will notice at three if we can achieve so three sinks. So automotive industry can be totally different. And in terms of things we want, I think we can improve it that you know at current stage we have a very good vision and the current stage you know within like three years we need to bring to some of the very successful product into market to profit from. Otherwise we can. You know don't have a choice to leave for like 5 years so. We need to find out what is the best product to bring into this market within next three years. Something may not be very fancy but meets the customer need right now.",4.0
"I'm gonna bring up the hunter Westlake again. Um, you know, if you haven't been there before, I say I suggest you go. But if you have to pee, if you have been there one time and you know maybe you travel, deal with one group. But you haven't spend your time around it. I also suggest you to go and not only that you know goes through those praise. Most tourists come or go and you should go to the place you know. Locals will go, which means that you know, um, for this restaurant and also you know there is a really beautiful sidewalk or on river and you can take walk about like I don't know it's clicked when they work. You can just spend there and also in the area in the mountains. That's so beautiful. Even there some good restaurant had in between it so. You really need to go.",3.0
"Have you ever been micromanaged in your life, Andreas? Yeah, thank you. Same happened to me and therefore I would like to give all of you today. 3 tips how to become a great leader. Tip 1 listen more than you talk. By listening carefully to your employees as well as to your peers. And to your manager. You will exactly know what they need. And be able. To respond to their needs and work together in a good relationship. Second advice. Learn passionately. If you want to climb the ladder together with your employees, you have to learn you have to engage. And you have to do it with passion. By learning something new every day, you will be able to climb the ladder together with your employees and to grow. Continuous and lifelong learning is key to success and key to continuous improvement. Tip #3 be authentic. Be all yourself. Others will quickly recognize if you imitate another person. And if you're not yourself at all. If you are authentic. People will be able to follow you. Follow you on the path to success and reach the goals that are set. I would like you now too. Rate. Which one of the three tips? You think makes the most impact to your employees. Enter your surrounding. Is it a? Then show me your thumb. For listening more than you talk. Is it the second one? Which is all about learning in climbing up, growing up the ladder. Or is it 3? Being authentic. I see an average of three. Which means. That you all believe in being authentic is key to success. Thank you.",8.0
"Can you do this? Can you do that? Why are you working on that? Have you ever heard such words? Before. I can see from your faces that you all have experienced that. So what is wrong here? You've been micromanaged. I. Believe. In management by autonomy. Giving my employees. The autonomy to decide how they want to achieve the goals. And also. To which goals they want to contribute to. So that they can unleash, unleash their full potential. NB able. To work. Towards a goal and a team. By giving the employees autonomy. You gain trust. And great collaboration for a successful work. Acting as a leader, not as a manager. Helps people to grow. And helps yourself. To stay healthy. And sane in your own environment as a leader. So decide carefully which hat you're going to take on at which time. The leader. Or the manager? Choose wisely.",7.0
As a leader. You are wearing foreheads. First one. That's the expert. You definitely should know what you're talking about. The second one. It's the manager. You have to approve things. You have to have mutual expectations for the employees. Sometimes you have to guide them as well. Third one. It's the coach. You do not have to always tell your employees how to do things. But let them. With questions from your site develop. What they need? 4th is the leader people following you.,7.0
"Imagine. All of us driving electrical cars. How much energy? Would be needed to fuel them. An incredible amount of energy is needed to have all electronic vehicles fueled. Are we green? But all driving electrical cars. The answer is no. Still, 90% of all energy around the globe produced. Comes from traditional energy producing methods. Only a very small amount of energy is green energy. Such as wind power. Want a power or some power? If we now fuel our E mobiles. With traditional energy. We are not green at all. Please focus more. And providing sustainable green solutions. Rather than running around blindly. Following hype. Stand, think and decide. Maybe? It's good to wait another decade. Before we are ready. To start.",8.0
Imagine. That the 50 top news sites of the world. There are 50 top news sites that you can access to get information. News what's happening in the world. Doesn't that sound a lot 50 sites? On the other hand. It only takes. 2 1/2 minutes. To read through all of them. So you have the giant 50 sites. And only. The small 2 1/2 minutes. Are needed. To read through all of them.,8.0
Have you ever looked around you? And made up your mind about the environment that you are living in. How would it feel like? Living on Mars instead. Imagine living in a totally different atmosphere. With no trees. No waters at all.,7.0
No down. Three things. That you would like to do to keep your environment. Tidy. Green and sustainable for the next. Couple of decades. Do it now. Send me an email. Contact me,6.0
"Semen South in years. Is one of the top leading companies when it comes to precision medicine. We are leading the health care segment. As we are providing. Full cancer care. From diagnosis. Took your. All the way. To pre care. But not only this. We also have the segments of scanners like MERS cities. Lab or diagnosis. And ultrasound. Our ambition is to provide health care. To everyone, everywhere in the world. We strive for making people live longer. And healthier. With 70,000 users all around the globe, we strive for being excellent and precision medicine and help people live a healthier life.",6.0
"Answer This good question. As I do not know what the answer was, but maybe it's what I have taken with me from the life hikes. I was able to eliminate. Most of my weak language. In English. Also. I learned a lot about. The power of silence. I tried to use all the techniques in my daily meetings in my daily life. And listening to the others and the feedback that I get. Gives me. To security. And certainty. That I'm on the right way. I'm not perfect. But I'm growing personally. And I see that people in my environment see that 2. From the feedback that I get.",7.0
"My leadership philosophy is based on trust and autonomy. If people are able to work on task which they have been taken or they've taken responsibility for and are committed to, they are much more able to unleash their full potential and, um, work on the task with empowerment. We are all Grown Ups and have been hired for a reason one day so everyone comes with a set of skills and brings expertise and experience to the team. By giving the team a goal. In explaining the why behind it, we create transparency and are able to deliver the rationale behind the goal and why it should. We all should work towards it, giving the team the autonomy to decide on how the goal can be reached. Respects their experience, knowledge, skills, and the ability to work independently and decide what needs to be done to reach their goal. People will see their contribution and are more performant and committed to um, reach the goal and to work towards the goal they feel acknowledged, heard, seen, and with that they feel appreciated. They are willing to follow you on the way on the journey because they are able to design the journey together with you so. As Grown Ups, we all want to design our future and how we reach the goals. We do not want to be told how. Things have to be done because everyone is doing it in their own styling with their own experience and expertise and skills. And I think we should in every team pay a lot of respect to what people did the last years or also have learned in school at university wherever and bringing all that together create the performance team.",4.0
"Hi today I would like to teach you how to bake cookies, so make sure that you have read the recipe thoroughly and that you have prepared all the ingredients that are needed to bake the cookies. Prepare all ingredients and measure how much is needed for the recipe as indicated there. Heat the oven as recommended in the recipe, and then put all the ingredients in the right order. In a mixing bowl and stir until you have a smooth Duff. Take a tablespoon and of Duff and place it on a baking sheet so for each cookie you take a tablespoon of Duff and put it on the baking sheet. Leave a little space in between. Then put the baking sheet in the oven. Leave it there for 15 minutes, take it out and give them another 15 minutes to cool down and then enjoy with a cup of tea.",6.0
"Hi, my name is Katia. I'm a 40 years old team lead at Siemens health and Ears and I'm taking care of all the collaboration services in Microsoft 365. My team is located around the globe so we have 75 users that we are supporting every day with all the Microsoft 365 topics. In my private time, I like riding my bike. I like going out in the nature, go doing hikes, um. Not only life hacks but also real hikes in the mountains or in the woods. So this is what I do in private life. Besides what I'm doing at Siemens seven years.",5.0
"Numbers come alive, so for me the number is 7373 is the year that I was born in, so it's um. If you take this, um, it's 10. It's 3 + 773. It's also the year where the old crisis took place where no one was able to drive a car anymore because the oil was not enough to be delivered to everyone. 73 my number.",5.0
"Hi, what is going well in my company is an ITR speedboat for the company. So we are delivering the best and state of the art. Um services to help our users to. Perform and to bring unleash their potential and bring out the best for their work. And what is not going so well? We have a lot of compliance topics that we have to take care of, so that hinders us sometimes to be that quick as we want to be with our speedboat and I think we could be much more smarter and leaner here and still be compliant but also act with common sense. I think this is something where we could improve on and where we could be even more faster and provide the state of the art and best solutions and services for business.",3.0
"Hi, you should definitely travel to South Africa. Its beautiful landscape there you can enjoy awesome food. There are a lot of mountain trails that you can hike or that you can go by mountain bike. Um, you have the C2 seeds that are coming together so it's the Indian Sea and the Atlantic Ocean authentic. But nevertheless you have two seats coming there. You have everything from seashores mountains, beautiful cities like Cape Town. Um, you have vineyards you have can enjoy seafood there. The weather is always beautiful. If you go into the mountains it's not that hot and you always you also have. Misty Cliffs, where you will see a lot of you know misty and mysterious um cliffs behind the fog.",4.0
"Hello I would like to speak about the term LTP. FTP stands for long term program and this is actually. Um contract between. Power plant operator and service provider for many years or several years. Where the service provider guarantees the operational operation characteristic of the of the power plant. The main. The fact that the main. Product which which the service which the long term program contains is the term warranty that um warranty is actually a guarantee of the supplier. The machine will work for long years and he doing that he's doing that by. Guaranteeing the availability and the functionality of Bladen veins of the gas turbine. So, incase latent veins are being damaged during the operational operation of the power plant or they are there discovered as? Destroyed during outages then. Their supplier will change them, buy new ones or repair the existing month. Other products say within this contract are the spare parts which customer can buy. The beginning of the. Of the contract or will make sure that there will be available to him and the outages, or in other words, the preventive maintenance of the power plant and under this scope the supplier will make sure that the preventive maintenance will be done according to the recommendation of the OEM.",4.0
"Hello I would like to explain today how to make bread. So in order to make bread we would need flour. We would need the east. We would need water. We need a little bit of sugar and a little bit of salt. We will take all the ingredients together besides the salt and mix them together until we will get a very um. A nice dope. The salt will be added later. We don't make one to mix the salt together with the east because it it prevents the door from from growing up. We will put the door aside in a bowl covered ball, best in a warm place and let it grow, eh? Of 450% of its side, it has to grow 50% of its size. After that we will make the form of the bread and let it grow again. For. For again, 50% of the of the of the size of the door. In the meantime, we can of course, in turn on the oven to 200 degrees Celsius. And once the dough is ready and grow big enough, we put it for 20 minutes to bake. Bon appetit.",3.0
"Hello, my name is Oren Matthias. I live in Germany in Newburgh, in the city of Newburgh. I work as a team leader for a sales group in Siemens Energy. We are selling services for steam turbines and my team region is Europe. So we are so I'm responsible for the region in Europe for our services. As for my hobbies, I like to travel worldwide, which is at the moment very difficult. And in addition, I like to draw, I do. All kinds of drawings from traditional drawings. The drawings on computer 3D drawings I really like, especially I'm focused on a portrait and poses of persons.",3.0
"I would like to discuss the number of actually the number 9 so #9 is really interesting because every multiplication of the number nine with two digits actually has a sister or brother. The numbers are actually opposite, so 18. Is multiplication of nine and two and 81, which are actually the number the numbers are just opposite. It's also multiplication of nine and nine. And if you think about it, all the numbers. With two digits, are our behaving the same, including the number 9 itself, which is 09, which is suitable to the 90 which is 9 * 10.",2.0
"So I need to speak about 1 positive things in the company and one negative thing in the company. So the positive thinking the company is that when it promises made it's being based on facts and um, the chances that we will not be able to fulfill this promise is quite limited or quite low because before making the promise, we're making sure that we have. Everything or the risk is minimal that we will not be able to hold it the negative. Uh, part is that, and this is, I think, common. For many countries companies. Is that all the. Department, they overthink, know very, very well what is there. Responsibility what what is part of the job and what is outside of their job and that leaves always the situation with the sales team has to take care of those actions which the others. I believe this is not part of the job.",3.0
"I would like to recommend visiting and traveling to Israel. Um, I believe that every tourist can find whatever he likes in this country. So on one hand you can have a lot experience, a lot of history. You can experience a lot of, um. Old sightseeing and and learn a lot, but on the other hand you can experience in Tel Aviv. Very nice parties, very crazy parties and if this is what we are looking for you can have in the same day. Skiing in a north part of Israel or sunbathing in the South part of Israel. Experience forests and you can experience desert everything in the same day because in the end of the day the country from going to from top from north to South is around 400 kilometers, which actually you can do in one day. The people there are very nice and the food is also great because it's a mixed of several. Cuisines around the world.",3.0
"OK, very nice to have this opportunity to share the. Collaboration experience in China so I just prepared several pages to show you more details. The first page is regarding the timeline of the collaboration. We know from May 1st last year till now. We have lots of. Collaboration tasks with our partners and at this page show we completed. The learning portfolio set up for local and also we started the TaylorMade learning solution. Consulting words and in the past. Above one years we have lots of very successful cases in this field and now we just prepared for our future. It means for next fiscal year and we of course we we would like to digitalise all of our learning operations. So this is the keyword key points of this page. So let's go to the next page. On this page you can see lots of data actually regarding this data. We can find these two. Sorry this three points. The first one is we can see in China. Actually we engaged to local suppliers to help us to develop the customer. Develop, market and help our customers. The second one is. Near 290% learning investment actually come from TaylorMade learning solutions so we can see for future public center is not. What we? It's not the key for us, but we need to more focus on the TaylorMade learning needs. Last one is we have seen the topic. Um leadership is the very key topic. And the leadership is the most the key topic for our local learning investment. So this is the key points of this page. So we can see on next page this page is very colorful I think compared with others. I think the basic understanding of Earth is actually learning is not a very hard task. Denise fun and we always want our learners to enjoy the learning journeys so we can see on this page the pictures of on site learning, delivery and also some activities.",3.0
"We know the TC is a very new. Process or very new concept so further. Let me introduce what is TC. TC is transfer call Center, so it means we will use certain call center to handling all of the individual learning payments. So we know we have several kinds of learning categories so. What which kind of learning categories will apply in the TC? I think you also know. To learning categories, including public seminars and in-house learnings. So currently an hour practice should be, firstly is for all of the public sector should be handled by TC. And for the tailor made in house learning, if the learning for specific team or organization and make thesis is not suitable and will cost if so more cost saving way is used, their own consent to issue the purchase order. But we know there is another kind of. In-house learning for cross organization for such kind of case, we can use TC because we should allocate the learning, payment and cost. So this is I want to. Share with you and I hope you will further handle this topic very well and of course any questions contact me freely.",3.0
"OK, regarding these two questions I think. The first question is very simple. Who am I? And I think of course, maybe you know my name. Um, my name is Mary is. Very popular name I think, but I think it's quite easy to remember. My name and. The second point regarding this question is what is? I am a. I'm thinking about actually, um? I yes, I am a mother and I am a wife. It means I have a very nice family. And I enjoy my life and. Enjoy the I love the things all of the moments with my family members. OK, the second question regarding what I'm doing I'm I think this question is Rick. It's more related. Work instead of life. So actually I'm now working in. Energy China responsible for learning other development for China hub. So. I think the most interesting point of this job for me is help others. And support others on the development of the. Learning journey and so on. I think it. That's all.",4.0
"So regarding the local offerings, I want to let you remember 3 numbers. The first is 3, the second is done. The third is 18. So let me explain what is these three numbers. So regarding the first, remember it's three. Yes, it's actually the numbers of learning categories, so we have public seminar. We have cross organizational, in-house learning and we have tailor made learning solutions for exact team and organizations. So this is 3. And for the next one. 10 It actually related our cross organizational learning offerings. We have totally turn key topics we offered very key learning programs on these topics. This is 10. The third one is 18. It means we still offer lots of TaylorMade learning solutions for for our customers. And what's. The topics. Actually, there are 18 topics. So you can see all of the details of the 18 topics on our Internet and welcome to check them out and welcome to contact Earth for details. Thank you.",4.0
"I think. It's really very good regarding the. Collaboration the general collaboration, especially the attitude from the key account manager from SQL China. They support lots of things after daily operation, and of course they are there. Anytime you can contact them and you can get very quick response. But I think we still have some space to be improved. For example, the learning consulting competence. I think the. Key account management. Persons of segals. Could improve more regarding this competence when they. Do further conversations with our end users with our business customers. It will help us to make more and more successful learning cases. Thank you.",2.0
"I think I would like to recommend Japan to you. Actually, I visited Japan. And every year. Almost every year in the past several years, and I think this country is very beautiful. Um, I have been there in winter and also in summer. Of course there are different view and different feeling in different seasons, but I think both of them are very beautiful, not owning the. Natural views but also. Some modern cities. The second reason I think the food regarding the foods the foods in this country is very delicious and I think it's very suitable for earth for earth taste that for our taste. So the third part is regarding um, how to say? Um, actually in one year I mentioned for several years I have been there in one of them, I just bring my son to. This new land in. Tokyo, and I think the experience is very nice, so I really recommend you to also visit their country. Thank you.",1.0
